B19013_001E,state,zipcode,state_code
45048,Pennsylvania,16102,42
68929,Pennsylvania,16112,42
50170,Pennsylvania,16125,42
61301,Pennsylvania,16127,42
60132,Pennsylvania,16137,42
46818,Pennsylvania,16141,42
53508,Pennsylvania,16143,42
28214,Pennsylvania,16155,42
43250,Pennsylvania,16160,42
55000,Pennsylvania,16218,42
38506,Pennsylvania,16239,42
39931,Pennsylvania,16248,42
55972,Pennsylvania,16249,42
22356,Pennsylvania,16250,42
50455,Pennsylvania,16256,42
49643,Pennsylvania,16263,42
54861,Pennsylvania,16311,42
43438,Pennsylvania,16321,42
48194,Pennsylvania,16326,42
54028,Pennsylvania,16940,42
-666666666,Pennsylvania,16860,42
78750,Pennsylvania,16638,42
48750,Pennsylvania,16692,42
50023,Pennsylvania,16323,42
57083,Pennsylvania,16440,42
52196,Pennsylvania,16655,42
49500,Pennsylvania,16838,42
60164,Pennsylvania,16881,42
53646,Pennsylvania,16938,42
71232,Pennsylvania,16828,42
45208,Pennsylvania,16656,42
65682,Pennsylvania,15327,42
78125,Pennsylvania,15344,42
66316,Pennsylvania,15201,42
119258,Pennsylvania,15636,42
63116,Pennsylvania,15696,42
43302,Pennsylvania,15035,42
97690,Pennsylvania,15222,42
70625,Pennsylvania,15313,42
50357,Pennsylvania,15712,42
54063,Pennsylvania,15780,42
55329,Pennsylvania,15870,42
53845,Pennsylvania,15068,42
59327,Pennsylvania,15955,42
43158,Pennsylvania,15956,42
63738,Pennsylvania,15009,42
34667,Pennsylvania,15034,42
47381,Pennsylvania,15049,42
58305,Pennsylvania,15052,42
-666666666,Pennsylvania,15422,42
50096,Pennsylvania,15431,42
42500,Pennsylvania,15432,42
29063,Pennsylvania,15434,42
51250,Pennsylvania,15438,42
62083,Pennsylvania,15440,42
69387,Pennsylvania,15026,42
50801,Pennsylvania,15055,42
78044,Pennsylvania,15116,42
66164,Pennsylvania,15229,42
61389,Pennsylvania,15774,42
54128,Pennsylvania,15944,42
67853,Pennsylvania,15007,42
42500,Pennsylvania,15014,42
48051,Pennsylvania,15022,42
67321,Pennsylvania,15051,42
32422,Pennsylvania,15054,42
55250,Pennsylvania,15056,42
49806,Pennsylvania,15066,42
-666666666,Pennsylvania,15072,42
-666666666,Pennsylvania,15075,42
45164,Pennsylvania,15084,42
64555,Pennsylvania,15085,42
87333,Pennsylvania,15101,42
79083,Pennsylvania,15108,42
65833,Pennsylvania,15139,42
165682,Pennsylvania,15142,42
66042,Pennsylvania,15625,42
53125,Pennsylvania,15628,42
-666666666,Pennsylvania,15635,42
46014,Pennsylvania,15531,42
63783,Pennsylvania,15135,42
43730,Pennsylvania,15067,42
46081,Pennsylvania,15076,42
78986,Pennsylvania,15126,42
73370,Pennsylvania,15215,42
63750,Pennsylvania,15216,42
76272,Pennsylvania,15217,42
55159,Pennsylvania,15001,42
48370,Pennsylvania,15004,42
114063,Pennsylvania,15015,42
44375,Pennsylvania,15028,42
53411,Pennsylvania,15031,42
78456,Pennsylvania,15038,42
65500,Pennsylvania,15043,42
40823,Pennsylvania,15045,42
81225,Pennsylvania,15057,42
57632,Pennsylvania,15063,42
74219,Pennsylvania,15064,42
21006,Pennsylvania,15444,42
-666666666,Pennsylvania,15462,42
39706,Pennsylvania,15468,42
44191,Pennsylvania,15483,42
61058,Pennsylvania,15486,42
48398,Pennsylvania,15501,42
47690,Pennsylvania,15537,42
54500,Pennsylvania,15538,42
34464,Pennsylvania,15540,42
61711,Pennsylvania,16617,42
65000,Pennsylvania,16621,42
68333,Pennsylvania,16624,42
45983,Pennsylvania,16625,42
-666666666,Pennsylvania,16631,42
48558,Pennsylvania,16639,42
46979,Pennsylvania,16646,42
56667,Pennsylvania,16657,42
55547,Pennsylvania,16669,42
47431,Pennsylvania,16720,42
47167,Pennsylvania,16729,42
46538,Pennsylvania,16735,42
54265,Pennsylvania,16738,42
58833,Pennsylvania,16745,42
65938,Pennsylvania,17073,42
58511,Pennsylvania,17074,42
63494,Pennsylvania,17078,42
65909,Pennsylvania,17093,42
48125,Pennsylvania,17211,42
77951,Pennsylvania,17011,42
60474,Pennsylvania,17017,42
64035,Pennsylvania,17032,42
79955,Pennsylvania,17036,42
66638,Pennsylvania,17040,42
